,Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
425,Bochum,Mönchengladbach,2,1,1,1,2.0,0.8
426,Union Berlin,Augsburg,2,2,2,1,1.2,0.6
427,Eintracht Frankfurt,Hoffenheim,4,2,3,1,2.8,1.8
428,Köln,Bayer Leverkusen,1,2,1,1,1.5,1.4
429,Schalke 04,Mainz 05,1,0,0,0,1.5,0.8
430,RB Leipzig,Freiburg,3,1,1,0,3.0,0.2
431,Mönchengladbach,Dortmund,4,2,4,1,2.1,3.3
432,Bayer Leverkusen,Stuttgart,2,0,2,0,1.6,0.3
433,Werder Bremen,RB Leipzig,1,2,1,2,0.9,1.7
434,Schalke 04,Bayern Munich,0,2,0,2,0.8,1.9
435,Hoffenheim,Wolfsburg,1,2,1,1,1.4,0.7
436,Hertha BSC,Köln,2,0,1,0,1.8,1.8
437,Augsburg,Bochum,0,1,0,1,2.3,1.1
438,Freiburg,Union Berlin,4,1,2,0,2.3,1.7
439,Mainz 05,Eintracht Frankfurt,1,1,1,1,1.5,1.8
440,RB Leipzig,Bayern Munich,1,1,1,1,0.8,0.7
441,Stuttgart,Mainz 05,1,1,1,0,1.7,1.5
442,Union Berlin,Hoffenheim,3,1,3,1,2.9,1.0
443,Eintracht Frankfurt,Schalke 04,3,0,3,0,1.2,1.9
444,Bochum,Hertha BSC,3,1,3,0,1.6,1.0
445,Wolfsburg,Freiburg,6,0,5,0,2.7,0.7
446,Köln,Werder Bremen,7,1,5,1,3.2,0.3
447,Dortmund,Augsburg,4,3,4,1,2.9,1.8
448,Mönchengladbach,Bayer Leverkusen,2,3,2,2,1.0,2.1
449,Hoffenheim,Stuttgart,2,2,1,2,2.0,0.8
450,Schalke 04,RB Leipzig,1,6,1,3,0.7,2.8
451,Bayern Munich,Köln,1,1,1,1,1.4,0.8
452,Hertha BSC,Wolfsburg,0,5,0,4,0.4,3.3
453,Bayer Leverkusen,Bochum,2,0,1,0,1.7,0.7
454,Mainz 05,Dortmund,1,2,1,2,1.2,1.5
455,Augsburg,Mönchengladbach,1,0,1,0,0.9,0.3
456,Freiburg,Eintracht Frankfurt,1,1,1,0,1.9,0.2
457,Werder Bremen,Union Berlin,1,2,1,1,0.6,1.1
458,RB Leipzig,Stuttgart,2,1,1,0,1.0,1.7
459,Hertha BSC,Union Berlin,0,2,0,2,0.5,1.0
460,Hoffenheim,Mönchengladbach,1,4,1,3,1.8,1.7
461,Mainz 05,Bochum,5,2,3,1,2.1,1.5
462,Werder Bremen,Wolfsburg,2,1,1,0,2.3,0.7
463,Freiburg,Augsburg,3,1,3,0,1.8,1.7
464,Bayern Munich,Eintracht Frankfurt,1,1,1,1,1.7,0.6
465,Bayer Leverkusen,Dortmund,0,2,0,1,1.7,0.9
466,Schalke 04,Köln,0,0,0,0,1.2,0.3
467,Augsburg,Bayer Leverkusen,1,0,1,0,0.9,0.6
468,Mönchengladbach,Schalke 04,0,0,0,0,1.1,1.0
469,Dortmund,Freiburg,5,1,4,0,1.9,0.4
470,Eintracht Frankfurt,Hertha BSC,3,0,1,0,2.2,0.9
471,Köln,RB Leipzig,0,0,0,0,0.8,1.3
472,Union Berlin,Mainz 05,2,1,2,0,1.1,1.3
473,Bochum,Hoffenheim,5,2,5,2,2.7,0.9
474,Stuttgart,Werder Bremen,0,2,0,1,1.4,0.5
475,Wolfsburg,Bayern Munich,2,4,1,4,2.3,0.5
476,Schalke 04,Wolfsburg,0,0,0,0,1.3,1.5
477,Werder Bremen,Dortmund,0,2,0,2,0.6,2.5
478,Hoffenheim,Bayer Leverkusen,1,3,0,3,0.7,1.4
479,Freiburg,Stuttgart,2,1,0,1,2.1,1.1
480,Bayern Munich,Bochum,3,0,1,0,3.8,0.3
481,Mainz 05,Augsburg,3,1,3,0,2.4,1.5
482,RB Leipzig,Union Berlin,1,2,1,0,0.6,1.7
483,Hertha BSC,Mönchengladbach,4,1,3,1,3.0,0.5
484,Köln,Eintracht Frankfurt,3,0,2,0,1.2,0.3
485,Augsburg,Hoffenheim,1,0,1,0,1.7,0.7
486,Mönchengladbach,Bayern Munich,3,2,3,2,2.4,1.1
487,Wolfsburg,RB Leipzig,0,3,0,2,0.2,3.1
488,Stuttgart,Köln,3,0,2,0,1.6,0.5
489,Eintracht Frankfurt,Werder Bremen,2,0,1,0,2.1,0.3
490,Bochum,Freiburg,0,2,0,2,1.4,2.7
491,Union Berlin,Schalke 04,0,0,0,0,0.9,0.4
492,Bayer Leverkusen,Mainz 05,2,3,2,1,2.4,1.6
493,Dortmund,Hertha BSC,4,1,3,1,2.6,1.1
494,Mainz 05,Mönchengladbach,4,0,3,0,1.8,1.2
495,RB Leipzig,Eintracht Frankfurt,2,1,2,1,1.7,0.8
496,Hoffenheim,Dortmund,0,1,0,1,1.3,2.4
497,Schalke 04,Stuttgart,2,1,2,1,1.6,1.2
498,Köln,Wolfsburg,0,2,0,1,1.3,1.0
499,Werder Bremen,Bochum,3,0,2,0,1.2,0.5
500,Hertha BSC,Augsburg,2,0,1,0,0.6,0.5
501,Bayern Munich,Union Berlin,3,0,3,0,3.6,0.4
502,Freiburg,Bayer Leverkusen,1,1,0,1,0.9,2.2
503,Dortmund,RB Leipzig,2,1,0,1,1.2,2.2
504,Bochum,Schalke 04,0,2,0,1,1.3,0.6
505,Mainz 05,Hoffenheim,1,0,1,0,1.2,0.8
506,Union Berlin,Köln,0,0,0,0,0.5,0.9
507,Stuttgart,Bayern Munich,1,2,1,2,0.8,2.1
508,Mönchengladbach,Freiburg,0,0,0,0,1.5,0.3
509,Augsburg,Werder Bremen,2,1,2,1,0.6,2.4
510,Bayer Leverkusen,Hertha BSC,4,1,4,0,1.7,1.1
511,Wolfsburg,Eintracht Frankfurt,2,2,2,1,1.9,0.6
512,Köln,Bochum,0,2,0,1,0.7,1.4
513,RB Leipzig,Mönchengladbach,3,0,1,0,2.5,1.6
514,Eintracht Frankfurt,Stuttgart,1,1,0,1,0.7,0.8
515,Bayern Munich,Augsburg,5,3,3,1,2.4,2.5
516,Hertha BSC,Mainz 05,1,1,0,1,1.5,0.5
517,Schalke 04,Dortmund,2,2,2,2,1.5,2.0
518,Werder Bremen,Bayer Leverkusen,2,3,1,2,1.8,1.0
519,Freiburg,Hoffenheim,2,1,1,1,0.6,1.0
520,Wolfsburg,Union Berlin,1,1,1,0,1.7,1.3
521,Mönchengladbach,Werder Bremen,2,2,1,2,3.4,1.3
522,Stuttgart,Wolfsburg,0,1,0,1,0.5,0.6
523,Dortmund,Köln,6,1,5,0,3.5,1.7
524,Hoffenheim,Hertha BSC,3,1,0,0,2.7,1.0
525,Bochum,RB Leipzig,1,0,1,0,1.2,1.9
526,Augsburg,Schalke 04,1,1,1,0,0.3,1.8
527,Union Berlin,Eintracht Frankfurt,2,0,2,0,1.5,2.7
528,Mainz 05,Freiburg,1,1,0,1,1.0,1.7
529,Bayer Leverkusen,Bayern Munich,2,1,0,1,2.0,1.0
530,Eintracht Frankfurt,Bochum,1,1,0,0,3.2,1.2
531,Schalke 04,Bayer Leverkusen,0,3,0,3,1.1,2.8
532,RB Leipzig,Mainz 05,0,3,0,1,0.8,3.2
533,Wolfsburg,Augsburg,2,2,2,1,3.7,0.6
534,Freiburg,Hertha BSC,1,1,1,0,1.2,1.9
535,Bayern Munich,Dortmund,4,2,2,1,2.4,1.7
536,Union Berlin,Stuttgart,3,0,1,0,1.9,2.2
537,Köln,Mönchengladbach,0,0,0,0,1.0,1.0
538,Werder Bremen,Hoffenheim,1,2,1,2,0.9,1.1
539,Bayer Leverkusen,Eintracht Frankfurt,3,1,3,1,2.1,1.0
540,Augsburg,Köln,1,3,1,3,0.9,1.7
541,Hertha BSC,RB Leipzig,0,1,0,0,0.5,2.4
542,Dortmund,Union Berlin,2,1,1,1,2.6,0.5
543,Mainz 05,Werder Bremen,2,2,2,1,1.9,0.9
544,Freiburg,Bayern Munich,0,1,0,1,1.0,3.5
545,Hoffenheim,Schalke 04,2,0,0,0,2.2,0.7
546,Bochum,Stuttgart,2,3,1,2,2.4,2.2
547,Mönchengladbach,Wolfsburg,2,0,2,0,1.6,1.5
548,Schalke 04,Hertha BSC,5,2,3,0,2.2,1.6
549,Köln,Mainz 05,1,1,1,1,1.0,0.8
550,Stuttgart,Dortmund,3,3,2,1,1.4,1.9
551,Bayern Munich,Hoffenheim,1,1,1,0,1.7,0.5
