Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
Freiburg,RB Leipzig,0,1,0,0,0.4,2.0
Mönchengladbach,Bochum,2,0,1,0,1.9,1.1
Werder Bremen,Bayern Munich,1,2,1,1,0.7,1.4
Augsburg,Union Berlin,1,0,1,0,0.9,0.7
Dortmund,Wolfsburg,6,0,6,0,4.2,1.4
Köln,Hertha BSC,5,2,4,1,4.5,1.1
Union Berlin,Freiburg,4,2,4,1,1.5,2.1
Wolfsburg,Hoffenheim,2,1,2,0,1.1,1.0
Eintracht Frankfurt,Mainz 05,3,0,2,0,2.3,1.0
Dortmund,Mönchengladbach,5,2,2,1,4.7,2.0
Bayern Munich,Schalke 04,6,0,4,0,5.4,0.4
Bochum,Augsburg,3,2,2,2,1.3,1.9
Stuttgart,Bayer Leverkusen,1,1,0,0,1.4,1.8
RB Leipzig,Werder Bremen,2,1,2,1,2.2,1.1
Freiburg,Wolfsburg,2,0,2,0,1.3,0.7
Bayern Munich,RB Leipzig,1,3,1,0,1.7,3.0
Schalke 04,Eintracht Frankfurt,2,2,2,2,1.0,1.6
Hoffenheim,Union Berlin,4,2,2,2,2.4,2.0
Hertha BSC,Bochum,1,1,1,1,1.2,1.1
Werder Bremen,Köln,1,1,1,1,1.9,1.4
Augsburg,Dortmund,0,3,0,1,0.2,3.3
Mainz 05,Stuttgart,1,4,0,3,1.4,1.8
Bayer Leverkusen,Mönchengladbach,2,2,2,1,1.6,1.7
RB Leipzig,Schalke 04,4,2,3,1,2.7,1.2
Union Berlin,Werder Bremen,1,0,1,0,0.9,0.4
Stuttgart,Hoffenheim,1,1,1,1,2.5,0.8
Bochum,Bayer Leverkusen,3,0,3,0,1.3,0.8
Wolfsburg,Hertha BSC,1,2,1,1,3.5,2.1
Mönchengladbach,Augsburg,2,0,2,0,3.2,0.5
Köln,Bayern Munich,1,2,0,2,1.3,1.3
Eintracht Frankfurt,Freiburg,2,1,1,0,2.1,1.6
Dortmund,Mainz 05,2,2,2,2,4.0,1.8
