Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG,home_Gls,home_Sh,away_Gls,away_Sh
Bayern Munich,Bochum,7,0,3,0,5.8,0.4,93,633,41,524
Stuttgart,Bayer Leverkusen,1,3,0,2,1.6,1.4,78,529,87,611
Dortmund,Union Berlin,4,2,2,1,0.9,1.7,68,506,33,403
Wolfsburg,Eintracht Frankfurt,1,1,0,1,1.2,0.3,41,411,48,402
Greuther Fürth,Bayern Munich,1,3,1,1,0.7,0.8,28,314,93,633
Bayer Leverkusen,Mainz 05,1,0,1,0,1.5,0.9,87,611,38,476
Eintracht Frankfurt,Köln,1,1,1,1,1.0,0.9,48,402,28,441
Hoffenheim,Wolfsburg,3,1,1,1,1.5,0.6,65,457,41,411
RB Leipzig,Hertha BSC,6,0,4,0,3.8,0.2,74,528,37,368
Mönchengladbach,Dortmund,1,0,0,0,1.6,0.4,55,451,68,506
Union Berlin,Arminia,1,0,1,0,1.2,0.5,33,403,27,363
Bochum,Stuttgart,0,0,0,0,0.8,0.3,41,524,78,529
Freiburg,Augsburg,3,0,1,0,3.2,0.2,43,392,49,429
Köln,Greuther Fürth,3,1,3,1,2.9,1.3,28,441,28,314
Hertha BSC,Freiburg,1,2,1,1,1.1,0.7,37,368,43,392
Dortmund,Augsburg,2,1,1,0,3.1,0.8,68,506,49,429
Stuttgart,Hoffenheim,3,1,2,1,0.8,1.0,78,529,65,457
Wolfsburg,Mönchengladbach,1,3,0,3,1.4,3.3,41,411,55,451
RB Leipzig,Bochum,3,0,3,0,3.2,1.5,74,528,41,524
Bayern Munich,Eintracht Frankfurt,1,2,1,2,2.2,0.8,93,633,48,402
Mainz 05,Union Berlin,1,2,1,2,1.1,1.4,38,476,33,403
Arminia,Bayer Leverkusen,0,4,0,2,0.4,3.1,27,363,87,611
Hoffenheim,Köln,5,0,3,0,3.7,0.7,65,457,28,441
Freiburg,RB Leipzig,1,1,1,0,1.4,1.8,43,392,74,528
Greuther Fürth,Bochum,0,1,0,1,0.8,1.6,28,314,41,524
Eintracht Frankfurt,Hertha BSC,1,2,0,2,1.6,1.8,48,402,37,368
Dortmund,Mainz 05,3,1,1,1,2.4,0.8,68,506,38,476
Union Berlin,Wolfsburg,2,0,2,0,0.9,1.5,33,403,41,411
Mönchengladbach,Stuttgart,1,1,0,1,2.6,0.3,55,451,78,529
Augsburg,Arminia,1,1,1,0,0.6,0.3,49,429,27,363
Bayer Leverkusen,Bayern Munich,1,5,1,5,0.7,3.3,87,611,93,633
Mainz 05,Augsburg,4,1,4,1,3.7,0.9,38,476,49,429
Hertha BSC,Mönchengladbach,1,0,0,0,1.0,0.5,37,368,55,451
Wolfsburg,Freiburg,0,2,0,1,1.3,1.5,41,411,43,392
Arminia,Dortmund,1,3,0,1,1.4,2.4,27,363,68,506
Bayern Munich,Hoffenheim,4,0,4,0,2.8,0.8,93,633,65,457
RB Leipzig,Greuther Fürth,4,1,2,0,2.3,1.4,74,528,28,314
Stuttgart,Union Berlin,1,1,1,1,0.5,1.0,78,529,33,403
Bochum,Eintracht Frankfurt,2,0,1,0,2.2,1.6,41,524,48,402
Köln,Bayer Leverkusen,2,2,2,1,1.8,1.0,28,441,87,611
Hoffenheim,Hertha BSC,2,0,0,0,0.9,0.3,65,457,37,368
Dortmund,Köln,2,0,2,0,1.4,1.3,68,506,28,441
Union Berlin,Bayern Munich,2,5,2,4,0.9,3.2,33,403,93,633
Freiburg,Greuther Fürth,3,1,1,1,1.5,0.8,43,392,28,314
Bayer Leverkusen,Wolfsburg,0,2,0,0,1.5,2.0,87,611,41,411
Arminia,Mainz 05,1,2,1,0,0.6,2.6,27,363,38,476
Eintracht Frankfurt,RB Leipzig,1,1,1,1,0.6,3.1,48,402,74,528
Mönchengladbach,Bochum,2,1,2,0,1.9,0.9,55,451,41,524
Augsburg,Stuttgart,4,1,4,1,2.1,0.9,49,429,78,529
Mainz 05,Mönchengladbach,1,1,0,0,1.1,1.6,38,476,55,451
Wolfsburg,Augsburg,1,0,1,0,0.5,0.7,41,411,49,429
Stuttgart,Arminia,0,1,0,1,0.9,1.8,78,529,27,363
RB Leipzig,Dortmund,2,1,2,1,2.6,0.9,74,528,68,506
Bochum,Hoffenheim,2,0,2,0,3.0,0.6,41,524,65,457
Bayern Munich,Freiburg,2,1,2,0,3.0,1.0,93,633,43,392
Greuther Fürth,Eintracht Frankfurt,1,2,0,2,2.5,1.3,28,314,48,402
Hertha BSC,Bayer Leverkusen,1,1,1,1,0.8,1.0,37,368,87,611
Köln,Union Berlin,2,2,1,2,1.8,1.0,28,441,33,403
Augsburg,Bayern Munich,2,1,1,1,0.4,1.3,49,429,93,633
Bayer Leverkusen,Bochum,1,0,1,0,1.7,0.8,87,611,41,524
Arminia,Wolfsburg,2,2,1,2,1.3,1.9,27,363,41,411
Dortmund,Stuttgart,2,1,1,1,2.6,1.6,68,506,78,529
Union Berlin,Hertha BSC,2,0,1,0,1.5,0.4,33,403,37,368
Mönchengladbach,Greuther Fürth,4,0,3,0,3.2,0.2,55,451,28,314
Hoffenheim,RB Leipzig,2,0,1,0,3.2,0.2,65,457,74,528
Mainz 05,Köln,1,1,1,1,0.8,2.2,38,476,28,441
Freiburg,Eintracht Frankfurt,0,2,0,0,1.4,1.2,43,392,48,402
Stuttgart,Mainz 05,2,1,2,1,0.3,0.8,78,529,38,476
Wolfsburg,Dortmund,1,3,1,2,2.0,2.3,41,411,68,506
Bayern Munich,Arminia,1,0,1,0,2.2,0.3,93,633,27,363
Hertha BSC,Augsburg,1,1,0,1,1.7,1.3,37,368,49,429
Köln,Mönchengladbach,4,1,2,1,1.4,1.0,28,441,55,451
Greuther Fürth,Hoffenheim,3,6,3,4,1.1,4.1,28,314,65,457
Bochum,Freiburg,2,1,1,1,1.1,2.4,41,524,43,392
RB Leipzig,Bayer Leverkusen,1,3,1,3,1.5,1.5,74,528,87,611
Eintracht Frankfurt,Union Berlin,2,1,1,0,1.3,1.1,48,402,33,403
Union Berlin,RB Leipzig,2,1,1,1,2.6,1.4,33,403,74,528
Bayer Leverkusen,Greuther Fürth,7,1,6,0,2.9,0.3,87,611,28,314
Mainz 05,Wolfsburg,3,0,2,0,1.2,0.7,38,476,41,411
Hoffenheim,Eintracht Frankfurt,3,2,1,2,0.9,1.5,65,457,48,402
Dortmund,Bayern Munich,2,3,2,1,1.2,3.1,68,506,93,633
Augsburg,Bochum,2,3,1,2,2.9,2.1,49,429,41,524
Arminia,Köln,1,1,1,1,1.1,1.1,27,363,28,441
Stuttgart,Hertha BSC,2,2,2,2,1.4,1.3,78,529,37,368
Mönchengladbach,Freiburg,0,6,0,5,0.9,2.0,55,451,43,392
Köln,Augsburg,0,2,0,0,1.0,0.8,28,441,49,429
Bochum,Dortmund,1,1,0,1,0.9,2.3,41,524,68,506
Bayern Munich,Mainz 05,2,1,2,1,1.6,0.8,93,633,38,476
Hertha BSC,Arminia,2,0,1,0,2.1,0.5,37,368,27,363
RB Leipzig,Mönchengladbach,4,1,4,1,4.7,1.2,74,528,55,451
Freiburg,Hoffenheim,1,2,1,2,1.7,1.0,43,392,65,457
Wolfsburg,Stuttgart,0,2,0,1,1.5,1.4,41,411,78,529
Eintracht Frankfurt,Bayer Leverkusen,5,2,2,1,1.7,1.7,48,402,87,611
Greuther Fürth,Union Berlin,1,0,0,0,0.8,1.5,28,314,33,403
Stuttgart,Bayern Munich,0,5,0,4,1.2,3.6,78,529,93,633
Arminia,Bochum,2,0,1,0,0.7,0.9,27,363,41,524
Mainz 05,Hertha BSC,4,0,4,0,2.9,0.4,38,476,37,368
Wolfsburg,Köln,2,3,2,1,2.5,3.9,41,411,28,441
Dortmund,Greuther Fürth,3,0,2,0,1.8,0.4,68,506,28,314
Mönchengladbach,Eintracht Frankfurt,2,3,1,3,2.1,2.3,55,451,48,402
Augsburg,RB Leipzig,1,1,0,1,1.2,2.3,49,429,74,528
Bayer Leverkusen,Hoffenheim,2,2,2,1,2.3,2.0,87,611,65,457
Union Berlin,Freiburg,0,0,0,0,1.9,1.2,33,403,43,392
Bayern Munich,Wolfsburg,4,0,3,0,3.7,1.1,93,633,41,411
RB Leipzig,Arminia,0,2,0,1,1.6,0.9,74,528,27,363
Eintracht Frankfurt,Mainz 05,1,0,1,0,1.8,0.6,48,402,38,476
Hoffenheim,Mönchengladbach,1,1,1,0,2.1,1.4,65,457,55,451
Hertha BSC,Dortmund,3,2,2,1,1.2,1.3,37,368,68,506
Bochum,Union Berlin,0,1,0,1,1.1,0.8,41,524,33,403
Greuther Fürth,Augsburg,0,0,0,0,0.1,1.2,28,314,49,429
Freiburg,Bayer Leverkusen,2,1,1,1,2.2,1.0,43,392,87,611
Köln,Stuttgart,1,0,1,0,2.0,0.4,28,441,78,529
Bayern Munich,Mönchengladbach,1,2,1,1,1.9,1.0,93,633,55,451
Eintracht Frankfurt,Dortmund,2,3,1,2,1.5,2.0,48,402,68,506
Hoffenheim,Augsburg,3,1,2,1,2.2,0.9,65,457,49,429
Greuther Fürth,Stuttgart,0,0,0,0,0.9,1.9,28,314,78,529
RB Leipzig,Mainz 05,4,1,3,1,3.2,0.3,74,528,38,476
Bayer Leverkusen,Union Berlin,2,2,1,1,1.7,3.0,87,611,33,403
Freiburg,Arminia,2,2,1,2,1.9,1.0,43,392,27,363
Bochum,Wolfsburg,1,0,0,0,0.9,0.4,41,524,41,411
Hertha BSC,Köln,1,3,0,1,1.2,1.2,37,368,28,441
Dortmund,Freiburg,5,1,5,0,2.4,0.9,68,506,43,392
